t,r0_x,r0_y,r1_x,r1_y,rdot1_x,rdot1_y,rddot1_x,rddot1_y,r2_x,r2_y,rdot2_x,rdot2_y,rddot2_x,rddot2_y,r3_x,r3_y,rdot3_x,rdot3_y,rddot3_x,rddot3_y,r4_x,r4_y
1.9000000000000001,0.0,0.0,6.749139708991565,-2.9752451101089554,0.07168172383127219,4.395447742064447,5.675477788015449,-5.959824222578936,14.000000000000002,-4.623420633041242,1.0324767970252635e-13,11.067284004153455,-9.237055564881302e-14,3.7142194390942525,21.250860291008436,-2.975245110108951,-0.07168172383143312,4.395447742064386,-5.675477788015542,-5.959824222579028,28.0,0.0
1.9100000000000001,0.0,0.0,6.750126945455828,-2.9315861359288222,0.12844694739921833,4.335344793753675,5.677030834871481,-6.0605939838607785,14.000000000000004,-4.5125815680927035,9.950621297151063e-14,11.099451901642619,-4.227729277772596e-13,2.725859864045052,21.24987305454417,-2.9315861359288182,-0.12844694739937573,4.335344793753614,-5.677030834871076,-6.060593983860718,28.0,0.0
1.92,0.0,0.0,6.751692408288537,-2.888535617781151,0.18485747069711195,4.274354604241139,5.6034966261520935,-6.134206252229406,14.000000000000004,-4.401468373659023,9.366609243881469e-14,11.121881015619296,-7.212008767965017e-13,1.7615510175659548,21.24830759171146,-2.888535617781148,-0.18485747069726383,4.274354604241079,-5.603496626151113,-6.134206252229172,28.0,0.0
1.93,0.0,0.0,6.753830060702144,-2.846101839573779,0.24020781035622463,4.212728135561353,5.457884123735539,-6.1835122801952345,14.000000000000005,-4.290176460190575,8.58112009236495e-14,11.134827370879336,-1.0729195309977513e-12,0.824675669682744,21.24616993929785,-2.846101839573776,-0.2402078103563689,4.212728135561294,-5.45788412373426,-6.1835122801949876,28.0,0.0
1.94,0.0,0.0,6.756523874708043,-2.8042898447152154,0.2938183086157232,4.150693207678033,5.244493710013714,-6.2116103520724515,14.000000000000005,-4.178799066275821,7.59870393622086e-14,11.138573649347023,-1.2612133559741778e-12,-0.08146850356677504,21.24347612529195,-2.804289844715213,-0.29381830861585756,4.150693207677977,-5.244493710012065,-6.211610352072091,28.0,0.0
1.95,0.0,0.0,6.759747831116558,-2.763101436114642,0.345035133322675,4.088454498484095,4.968922630480812,-6.221796269436007,14.000000000000005,-4.067427258641301,6.42007268076675e-14,11.133429190075075,-1.2967404927621828e-12,-0.9537290218850405,21.240252168883433,-2.76310143611464,-0.34503513332279645,4.08845449848404,-4.968922630479,-6.221796269435602,28.0,0.0
1.96,0.0,0.0,6.763465919536952,-2.72253517618191,0.39323027793204596,4.02619354380165,4.63806834328323,-6.217513158795612,14.000000000000007,-3.9561499321516327,5.0421000430183955e-14,11.119729989244654,-1.652011860642233e-12,-1.789159622200076,21.236534080463038,-2.7225351761819088,-0.39323027793215076,4.0261935438015986,-4.638068343281034,-6.217513158795139,28.0,0.0
1.97,0.0,0.0,6.767632562659075,-2.682586522725365,0.4378067773403229,3.9640676084346387,4.260069320641534,-6.202284095195882,14.000000000000007,-3.8450537210878246,3.462000239510798e-14,11.097838929509562,-1.6413537196058314e-12,-2.585092768638951,21.232367437340915,-2.682586522725364,-0.4378067773404068,3.964067608434592,-4.260069320639275,-6.202284095195404,28.0,0.0
1.98,0.0,0.0,6.772214126953982,-2.6432548892114855,0.4784128915393607,3.9021553623413787,3.8412355969145437,-6.178825269311259,14.000000000000007,-3.7342180091681803,1.82588692834025e-14,11.06816464030908,-1.715960706860642e-12,-3.3397308265258916,21.227785873046006,-2.643254889211485,-0.47841289153942096,3.9021553623413374,-3.8412355969121137,-6.178825269310746,28.0,0.0
1.99,0.0,0.0,6.77717681649371,-2.604540308519997,0.5146923137086037,3.8405037814032252,3.3877393757402885,-6.149561690091376,14.000000000000007,-3.6237163944074986,1.749847927540287e-15,11.031154452394231,-1.758593271006248e-12,-4.051770987828242,21.22282318350628,-2.604540308519997,-0.51469231370864,3.840503781403189,-3.3877393757378798,-6.1495616900908985,28.0,0.0
